Parameter,Outcome,delta_raw_400,delta_400,delta_conf_400,S1_400,S1_conf_400,delta_400_norm,delta_raw_800,delta_800,delta_conf_800,S1_800,S1_conf_800,delta_800_norm,delta_raw_1200,delta_1200,delta_conf_1200,S1_1200,S1_conf_1200,delta_1200_norm,delta_raw_1600,delta_1600,delta_conf_1600,S1_1600,S1_conf_1600,delta_1600_norm,delta_raw_2000,delta_2000,delta_conf_2000,S1_2000,S1_conf_2000,delta_2000_norm,delta_raw_2400,delta_2400,delta_conf_2400,S1_2400,S1_conf_2400,delta_2400_norm,delta_raw_2800,delta_2800,delta_conf_2800,S1_2800,S1_conf_2800,delta_2800_norm,delta_raw_3200,delta_3200,delta_conf_3200,S1_3200,S1_conf_3200,delta_3200_norm,delta_raw_3600,delta_3600,delta_conf_3600,S1_3600,S1_conf_3600,delta_3600_norm,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm
CO2 Cap,Biomass Imports 2050,0.0990462793506906,0.0990462793506906,0.023935919521670415,0.0,0.0,0.2748902483540665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings demand,Biomass Imports 2050,0.08522965179102648,0.08522965179102648,0.025167695945313363,0.0,0.0,0.22286952186764922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel Production,Biomass Imports 2050,0.03406255926975246,0.03406255926975246,0.023941533443700588,0.0,0.0,0.03022125703889757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical Production,Biomass Imports 2050,0.07727924099770897,0.07727924099770897,0.027004450608102363,0.0,0.0,0.19293557861356297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger Cars,Biomass Imports 2050,0.05709685384664235,0.05709685384664235,0.026981194191485976,0.0,0.0,0.11694724953001186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunker aviation,Biomass Imports 2050,0.10589901646399578,0.10589901646399578,0.027015660554122606,0.0,0.0,0.30069136092767884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunker navigation,Biomass Imports 2050,0.08233231984855001,0.08233231984855001,0.027325927123139495,0.0,0.0,0.21196083146045172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture neGHG CH4,Biomass Imports 2050,0.04956789181166028,0.04956789181166028,0.02596177258649243,0.0,0.0,0.08860009512803399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture neGHG N2O,Biomass Imports 2050,0.04035321392081915,0.04035321392081915,0.025789674669580032,0.0,0.0,0.05390608342728463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind offshore Costs,Biomass Imports 2050,0.09324397136419359,0.09324397136419359,0.028829427488075193,0.0,0.0,0.25304408687565333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind offshore Potential,Biomass Imports 2050,0.027567760867531974,0.027567760867531974,0.025775203817461432,0.0,0.0,0.00576781282413976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar PV Costs,Biomass Imports 2050,0.10022760381840078,0.10022760381840078,0.022539166831643285,0.0,0.0,0.27933803105365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar PV Potential,Biomass Imports 2050,0.07588829869164301,0.07588829869164301,0.023539218043868635,0.0,0.0,0.18769856770407858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear Costs,Biomass Imports 2050,0.06502993750539561,0.06502993750539561,0.021477623704726605,0.0,0.0,0.14681595471322534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear Potential,Biomass Imports 2050,0.08641502679977303,0.08641502679977303,0.024875741251653136,0.0,0.0,0.2273325551836705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Import Potential,Biomass Imports 2050,0.07831984457783911,0.07831984457783911,0.024359442710202205,0.0,0.0,0.19685353572639497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Import Price,Biomass Imports 2050,0.11931454201235697,0.11931454201235697,0.029486869663358437,0.0,0.0,0.3512019057193926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass Import Potential,Biomass Imports 2050,0.2916343505878019,0.2916343505878019,0.03538241187637605,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass Import Price,Biomass Imports 2050,0.2626659401076827,0.2626659401076827,0.040813931894608524,0.0,0.0,0.8909315785038662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
