Parameter,Outcome,delta_raw_2800,delta_2800,delta_conf_2800,S1_2800,S1_conf_2800,delta_2800_norm
CO2 Cap,BioEnergy Imports 2050,0.06829428279396386,0.06829428279396386,0.00887837258689843,0.0,0.0,0.07983731780433195
Buildings demand,BioEnergy Imports 2050,0.06692317753991316,0.06692317753991316,0.00913906641316194,0.0,0.0,0.07473030006049931
Steel Production,BioEnergy Imports 2050,0.06212862523195637,0.06212862523195637,0.0076822477238554935,0.0,0.0,0.05687181425998945
Chemical Production,BioEnergy Imports 2050,0.10707301160008387,0.10707301160008387,0.010975541211377234,0.0,0.0,0.22427820263869527
Passenger Cars,BioEnergy Imports 2050,0.06773069130440855,0.06773069130440855,0.008873606985544517,0.0,0.0,0.07773808309647225
Bunker aviation,BioEnergy Imports 2050,0.07903355296711895,0.07903355296711895,0.009752578417447822,0.0,0.0,0.11983836306915249
Bunker navigation,BioEnergy Imports 2050,0.08321765832303862,0.08321765832303862,0.009642816614974339,0.0,0.0,0.13542308950180074
Agriculture neGHG CH4,BioEnergy Imports 2050,0.07260899629076754,0.07260899629076754,0.010828872333682866,0.0,0.0,0.09590852628568727
Agriculture neGHG N2O,BioEnergy Imports 2050,0.07786760437450178,0.07786760437450178,0.007804841097425831,0.0,0.0,0.11549550161974817
Wind offshore Costs,BioEnergy Imports 2050,0.05917622757564248,0.05917622757564248,0.00919111326687375,0.0,0.0,0.04587488519630191
Wind offshore Potential,BioEnergy Imports 2050,0.07644169971676126,0.07644169971676126,0.009486712574133799,0.0,0.0,0.11018437005885552
Solar PV Costs,BioEnergy Imports 2050,0.06777422743051333,0.06777422743051333,0.009063333106735141,0.0,0.0,0.07790024407416375
Solar PV Potential,BioEnergy Imports 2050,0.07183235152189567,0.07183235152189567,0.00840939542857411,0.0,0.0,0.09301572239366981
Nuclear Costs,BioEnergy Imports 2050,0.07070741568949218,0.07070741568949218,0.009334128054562985,0.0,0.0,0.08882562302691085
Nuclear Potential,BioEnergy Imports 2050,0.060325066844984995,0.060325066844984995,0.010339753636909024,0.0,0.0,0.05015401877558798
