Method,Parameter,Outcome,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm
Delta_4000,CO2 Cap,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Buildings demand,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Steel Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Chemical Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Passenger Cars,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker aviation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker navigation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG CH4,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG N2O,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,CCS potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Flexibility Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,LNG Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Weather Conditions,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Ratio,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Volume,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,WACC,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker Emission Reduction,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,End-of-Life Emission Reduction,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,CO2 Cap,BioFuel Imports 2050,0.0821311582647866,0.0821311582647866,0.0051654168948795515,0.0,0.0,0.027092980504545866
Delta_4000,Buildings demand,BioFuel Imports 2050,0.0771219381808806,0.0771219381808806,0.004509970724111724,0.0,0.0,0.011016076761423282
Delta_4000,Steel Production,BioFuel Imports 2050,0.07753382210136618,0.07753382210136618,0.004790156040489494,0.0,0.0,0.012338002736339351
Delta_4000,Chemical Production,BioFuel Imports 2050,0.3852682212029507,0.3852682212029507,0.03310821214363241,0.0,0.0,1.0
Delta_4000,Passenger Cars,BioFuel Imports 2050,0.08007635751852331,0.08007635751852331,0.004659611929470084,0.0,0.0,0.02049817467536933
Delta_4000,Bunker aviation,BioFuel Imports 2050,0.08176368410335076,0.08176368410335076,0.004545246778755343,0.0,0.0,0.025913585983536516
Delta_4000,Bunker navigation,BioFuel Imports 2050,0.08847929513095222,0.08847929513095222,0.0046619230721369935,0.0,0.0,0.0474670873786705
Delta_4000,Agriculture neGHG CH4,BioFuel Imports 2050,0.08195992900842124,0.08195992900842124,0.004980836352893942,0.0,0.0,0.026543426636582067
Delta_4000,Agriculture neGHG N2O,BioFuel Imports 2050,0.0890258001000656,0.0890258001000656,0.00496192290150891,0.0,0.0,0.04922107455360071
Delta_4000,Wind offshore Costs,BioFuel Imports 2050,0.08414899984906929,0.08414899984906929,0.004980398438665431,0.0,0.0,0.033569167291309425
Delta_4000,Wind offshore Potential,BioFuel Imports 2050,0.08322631725071675,0.08322631725071675,0.00413046748847928,0.0,0.0,0.030607852142305
Delta_4000,Solar PV Costs,BioFuel Imports 2050,0.08528644459077031,0.08528644459077031,0.004723623718424465,0.0,0.0,0.03721975347421658
Delta_4000,Solar PV Potential,BioFuel Imports 2050,0.08265673446802248,0.08265673446802248,0.004383361680533011,0.0,0.0,0.028779797591350773
Delta_4000,Nuclear Costs,BioFuel Imports 2050,0.08099826493860769,0.08099826493860769,0.00442113732807434,0.0,0.0,0.023457001918833133
Delta_4000,Nuclear Potential,BioFuel Imports 2050,0.08811311866630894,0.08811311866630894,0.004977899207231072,0.0,0.0,0.046291857766783205
