Parameter,Outcome,S1_400,S1_conf_400,delta_400,delta_conf_400,delta_raw_400,S1_800,S1_conf_800,delta_800,delta_conf_800,delta_raw_800,S1_1200,S1_conf_1200,delta_1200,delta_conf_1200,delta_raw_1200,S1_1600,S1_conf_1600,delta_1600,delta_conf_1600,delta_raw_1600,S1_2000,S1_conf_2000,delta_2000,delta_conf_2000,delta_raw_2000,S1_2400,S1_conf_2400,delta_2400,delta_conf_2400,delta_raw_2400,S1_2800,S1_conf_2800,delta_2800,delta_conf_2800,delta_raw_2800,S1_3200,S1_conf_3200,delta_3200,delta_conf_3200,delta_raw_3200,S1_3600,S1_conf_3600,delta_3600,delta_conf_3600,delta_raw_3600,S1_4000,S1_conf_4000,delta_4000,delta_conf_4000,delta_raw_4000
Agriculture neGHG CH4,BioEnergy Imports 2050,0.0,0.0,0.0982134510210773,0.0240759956994767,0.0982134510210773,0.0,0.0,0.0807674861291976,0.0188207654100657,0.0807674861291976,0.0,0.0,0.0342864346608711,0.0158744153731498,0.0342864346608711,0.0,0.0,0.0448041737653503,0.0101535482935773,0.0448041737653503,0.0,0.0,0.0770526427614089,0.0130265871067242,0.0770526427614089,0.0,0.0,0.062953972281786,0.0105106097796764,0.062953972281786,0.0,0.0,0.0726089962907675,0.0108288723336828,0.0726089962907675,0.0,0.0,0.0497313642652752,0.0102011356705988,0.0497313642652752,0.0,0.0,0.0595061482147878,0.0097256967792423,0.0595061482147878,0.0,0.0,0.0638702462786736,0.0077951362061499,0.0638702462786736
Agriculture neGHG CH4,BioFuel Imports 2050,0.0,0.0,0.0413894827151682,0.0172770762999208,0.0413894827151682,0.0,0.0,0.0722514369912425,0.0086260481458049,0.0722514369912425,0.0,0.0,0.0659196298959275,0.0086494416641089,0.0659196298959275,0.0,0.0,0.0686854161489404,0.0081006201761123,0.0686854161489404,0.0,0.0,0.0607318217928458,0.0068518454858497,0.0607318217928458,0.0,0.0,0.0822070443884224,0.0056362785768177,0.0822070443884224,0.0,0.0,0.0783149132313393,0.0063498893543339,0.0783149132313393,0.0,0.0,0.0873151053738197,0.0057263325615559,0.0873151053738197,0.0,0.0,0.0786545229621583,0.0054573423077525,0.0786545229621583,0.0,0.0,0.084633965798915,0.0056133816027395,0.084633965798915
Agriculture neGHG CH4,BioFuel Production 2050,0.0,0.0,0.0375211910032847,0.0195302496489438,0.0375211910032847,0.0,0.0,0.0936534271750985,0.0192926147089321,0.0936534271750985,0.0,0.0,0.0456729844011572,0.0147049421758996,0.0456729844011572,0.0,0.0,0.0782436937975553,0.0132166055172017,0.0782436937975553,0.0,0.0,0.0569570597709815,0.0120819794109942,0.0569570597709815,0.0,0.0,0.0584592182047795,0.0102714230680573,0.0584592182047795,0.0,0.0,0.0670660437420798,0.0105949600684243,0.0670660437420798,0.0,0.0,0.0758667567925921,0.0088083313831432,0.0758667567925921,0.0,0.0,0.0613098140385073,0.0078857752761578,0.0613098140385073,0.0,0.0,0.0648140675980258,0.0082552060237645,0.0648140675980258
Agriculture neGHG CH4,Biomass Imports 2050,0.0,0.0,0.0495678918116602,0.0259617725864924,0.0495678918116602,0.0,0.0,0.0669903689093907,0.0202748034793354,0.0669903689093907,0.0,0.0,0.0681488442096567,0.0120151227174905,0.0681488442096567,0.0,0.0,0.0778184480092921,0.0130095580768436,0.0778184480092921,0.0,0.0,0.0607654560387435,0.0107398928689942,0.0607654560387435,0.0,0.0,0.0684319122956769,0.0087376782188684,0.0684319122956769,0.0,0.0,0.085952674087554,0.0093688411616483,0.085952674087554,0.0,0.0,0.0526928605130538,0.0095860712177721,0.0526928605130538,0.0,0.0,0.0593532112895881,0.008773431855099,0.0593532112895881,0.0,0.0,0.0679426793940636,0.0078934317623421,0.0679426793940636
Agriculture neGHG CH4,CO2 Storage 2050,0.0,0.0,0.0847734328906395,0.0258276820407753,0.0847734328906395,0.0,0.0,0.0543472597843671,0.0178983754159766,0.0543472597843671,0.0,0.0,0.0544423111586007,0.0125298152389772,0.0544423111586007,0.0,0.0,0.0506166211629723,0.0105009968789612,0.0506166211629723,0.0,0.0,0.0557496320957932,0.0098284087100469,0.0557496320957932,0.0,0.0,0.0575131690206961,0.0092413792571117,0.0575131690206961,0.0,0.0,0.0410097770784648,0.009675783866002,0.0410097770784648,0.0,0.0,0.051594582679761,0.0083267187340804,0.051594582679761,0.0,0.0,0.0478086958549329,0.0081067143427458,0.0478086958549329,0.0,0.0,0.0556965817068052,0.0072539873977805,0.0556965817068052
Agriculture neGHG CH4,CO2_Price 2050,0.0,0.0,0.174726658320382,0.0316453012183376,0.174726658320382,0.0,0.0,0.0891912190481548,0.0166797732447117,0.0891912190481548,0.0,0.0,0.1716217686364553,0.1018123120150931,0.1716217686364553,0.0,0.0,0.0541550806640538,0.069922549175419,0.0541550806640538,0.0,0.0,0.1041359972502073,0.0455475681010047,0.1041359972502073,0.0,0.0,0.2123988426393476,0.0329523436375088,0.2123988426393476,0.0,0.0,0.1483378856506459,0.0312652194817041,0.1483378856506459,0.0,0.0,0.1186793202176877,0.0212413949238543,0.1186793202176877,0.0,0.0,0.1340708860480061,0.0184097543674635,0.1340708860480061,0.0,0.0,0.0751451936010283,0.0179935077056283,0.0751451936010283
Agriculture neGHG CH4,DR Flexibility Capacity 2050,0.0,0.0,0.1003748988219453,0.0251567669147426,0.1003748988219453,0.0,0.0,0.0499709069473225,0.0195822465351515,0.0499709069473225,0.0,0.0,0.0472352422505065,0.012929222112869,0.0472352422505065,0.0,0.0,0.0377605546616016,0.0141571629165908,0.0377605546616016,0.0,0.0,0.046709835092771,0.0135707742855426,0.046709835092771,0.0,0.0,0.0664187390584651,0.0108309267715514,0.0664187390584651,0.0,0.0,0.0581355497814084,0.0087792644792428,0.0581355497814084,0.0,0.0,0.074149752844249,0.0084537609388509,0.074149752844249,0.0,0.0,0.054482703222513,0.0090664025074561,0.054482703222513,0.0,0.0,0.0544038166676473,0.009764355507711,0.0544038166676473
Agriculture neGHG CH4,Daily Flexibility Capacity 2050,0.0,0.0,0.0704085745076405,0.026865114743058,0.0704085745076405,0.0,0.0,0.0498660515804194,0.0181470129434782,0.0498660515804194,0.0,0.0,0.0433464672547563,0.0139494883430537,0.0433464672547563,0.0,0.0,0.1010766247243807,0.0119057900660126,0.1010766247243807,0.0,0.0,0.0648318401173804,0.0130259378182166,0.0648318401173804,0.0,0.0,0.0509622032977986,0.0104947793077968,0.0509622032977986,0.0,0.0,0.0955912247368086,0.0085624287483736,0.0955912247368086,0.0,0.0,0.0712592859765455,0.0096036627693561,0.0712592859765455,0.0,0.0,0.0555431585404099,0.0087627914693836,0.0555431585404099,0.0,0.0,0.0602886051949507,0.008913221886426,0.0602886051949507
Agriculture neGHG CH4,Electricity capacity_Carrier_sum 2050 Nuclear,0.0,0.0,0.069760685136858,0.0133147984344566,0.069760685136858,0.0,0.0,0.0825051932773106,0.008832698644094,0.0825051932773106,0.0,0.0,0.0846511101569014,0.006078244300848,0.0846511101569014,0.0,0.0,0.0957961800087504,0.0046160069619341,0.0957961800087504,0.0,0.0,0.1003909957350102,0.004937736595458,0.1003909957350102,0.0,0.0,0.1038077839840679,0.0040075178102746,0.1038077839840679,0.0,0.0,0.1064301544666636,0.0035753590482746,0.1064301544666636,0.0,0.0,0.1005264648406516,0.0038049613953875,0.1005264648406516,0.0,0.0,0.1038194609832212,0.0035159571786746,0.1038194609832212,0.0,0.0,0.110195335082562,0.0039936335136072,0.110195335082562
Agriculture neGHG CH4,Electricity capacity_Carrier_sum 2050 Solar PV,0.0,0.0,0.0950913250474037,0.0256996994477548,0.0950913250474037,0.0,0.0,0.0604186011132064,0.0149494087475567,0.0604186011132064,0.0,0.0,0.0946897031214595,0.0138784528055044,0.0946897031214595,0.0,0.0,0.0587636557317973,0.0099935982782727,0.0587636557317973,0.0,0.0,0.0794633523444206,0.0099270317118439,0.0794633523444206,0.0,0.0,0.063053168752747,0.0086118049940928,0.063053168752747,0.0,0.0,0.0833508789632081,0.0076347630351677,0.0833508789632081,0.0,0.0,0.0755500426425871,0.0071926343149767,0.0755500426425871,0.0,0.0,0.0709203995725708,0.0066500670128981,0.0709203995725708,0.0,0.0,0.0683026975982583,0.0065110953476742,0.0683026975982583
