Parameter,Outcome,mu,mu_star,mu_star_conf,sigma,mu_star_norm,sigma_norm
CO2 Cap,BioEnergy Imports 2050,-30.913809975000003,30.920988375000015,28.08197475251212,63.41017436022872,0.10212648853645777,0.21324777322690686
Buildings demand,BioEnergy Imports 2050,23.73816727500002,23.73816727500002,16.95188342794276,37.756821484777326,0.07840291644903817,0.12697580769947528
Steel Production,BioEnergy Imports 2050,9.370694699999994,9.370694699999994,8.324373902613752,20.88067270641,0.03094972687328254,0.07022149052652
Chemical Production,BioEnergy Imports 2050,185.91677602500005,185.91677602500005,74.25419074892461,154.28050775887922,0.6140498248368927,0.5188437827815311
Passenger Cars,BioEnergy Imports 2050,2.407911824999996,2.416361024999997,2.752551642083581,6.307651819977433,0.007980807842453239,0.021212569094345293
Bunker aviation,BioEnergy Imports 2050,10.553852850000018,11.36403390000001,13.502314368918197,35.978251503690814,0.03753336936521092,0.12099449489247556
Bunker navigation,BioEnergy Imports 2050,52.914661124999995,53.97592912499998,29.425214686680814,66.51131885588654,0.17827283009768813,0.2236768907120133
Agriculture neGHG CH4,BioEnergy Imports 2050,39.85469745000001,39.85469745000001,19.72571876018671,46.477237030535,0.1316329301278817,0.15630247673182673
Agriculture neGHG N2O,BioEnergy Imports 2050,14.062225050000013,14.062225050000013,8.781736157624994,18.467278468820144,0.04644501165192508,0.06210527018369316
Wind offshore Costs,BioEnergy Imports 2050,32.34678127499999,32.793056625,30.687313493430437,70.33610629019334,0.10830959479277873,0.23653961206014676
Wind offshore Potential,BioEnergy Imports 2050,-46.65125835,47.062824000000006,40.91176336370006,96.13930182143694,0.1554400815859861,0.32331549691920747
Solar PV Costs,BioEnergy Imports 2050,-0.3870729749999988,0.3870729749999988,0.6425242666860583,1.3908725873826921,0.0012784327352249446,0.00467749040424868
Solar PV Potential,BioEnergy Imports 2050,-17.540958749999998,18.195012599999984,15.941722024424635,38.344086783161266,0.0600948689989798,0.1289507749415202
Nuclear Costs,BioEnergy Imports 2050,12.929358449999999,12.993490949999998,12.414384177847449,32.71288038824538,0.04291517426482464,0.1100130849507148
Nuclear Potential,BioEnergy Imports 2050,-0.06922424999999777,0.06922424999999777,0.1276589793560792,0.2921069441518862,0.00022863530390204273,0.0009823526904473487
Hydrogen Import Potential,BioEnergy Imports 2050,-6.518559225000004,6.759219074999995,12.676991006308391,29.721704549018177,0.022324490440173175,0.09995379094181207
Hydrogen Import Price,BioEnergy Imports 2050,26.018506350000003,26.018506350000003,20.9209726366693,44.75495032799551,0.08593446814388991,0.15051044401971964
Biomass Import Potential,BioEnergy Imports 2050,297.894144975,297.894144975,63.666396385457546,158.24082081215187,0.9838910261505254,0.5321622754116592
Biomass Import Price,BioEnergy Imports 2050,-302.77148287500006,302.77148287500006,122.42718174158304,297.35445018109033,1.0,1.0
Ammonia Import Potential,BioEnergy Imports 2050,-32.957471850000026,33.11088255000002,30.581840734242633,75.50929695692189,0.10935931691978379,0.2539369998025466
Ammonia Import Price,BioEnergy Imports 2050,31.337625675000005,31.39560667500001,26.821184958987942,63.588492009078216,0.10369406780612084,0.21384745367137606
CCS potential,BioEnergy Imports 2050,-62.887525800000006,63.60116505,44.482884812454884,111.27139287746868,0.21006326106431197,0.374204565661297
Flexibility Costs,BioEnergy Imports 2050,9.674580599999997,9.692519999999998,6.742389598727853,16.246577617266343,0.03201265821986801,0.054637075743686016
LNG Import Price,BioEnergy Imports 2050,-38.00712570000001,46.02293580000002,37.15809308862797,90.83972576893238,0.15200551704204157,0.3054930764063243
Electricity Trade Price,BioEnergy Imports 2050,8.63653514999998,13.381472249999993,10.948260750152004,28.88422580925517,0.044196607034898874,0.09713735843423407
Weather Conditions,BioEnergy Imports 2050,16.773806549999996,31.77922215,21.724158712238914,56.80157605961356,0.10496108103787347,0.19102312417056855
Electricity Trade Ratio,BioEnergy Imports 2050,23.919112950000006,26.698144800000005,24.17472707152643,55.83689880346358,0.08817919226237829,0.18777892434250987
Electricity Trade Volume,BioEnergy Imports 2050,1.0087508250000057,14.913071775,16.107413547006846,42.0721261276713,0.04925520604976162,0.14148813344494815
WACC,BioEnergy Imports 2050,34.12073272500002,35.30566762500003,26.18837188249592,61.79492363099804,0.11660829907014743,0.20781570140741001
Bunker Emission Reduction,BioEnergy Imports 2050,129.9682047,130.17369465,85.35297929320221,171.8778150951505,0.42994040724681626,0.578023348870266
End-of-Life Emission Reduction,BioEnergy Imports 2050,0.0,0.0,0.0,0.0,0.0,0.0
CO2 Cap,BioFuel Imports 2050,-0.4108345499999997,0.6454641000000008,0.682345510394294,1.748790675232074,0.01181633158029725,0.05708649038966327
Buildings demand,BioFuel Imports 2050,0.038360925000000365,0.2641833750000001,0.3065625334350118,0.6940987682458664,0.004836331496983347,0.02265775042383874
Steel Production,BioFuel Imports 2050,0.5456666250000001,0.7806084750000003,0.5394608456546242,1.3561719815287456,0.014290382028977552,0.04427007753800917
Chemical Production,BioFuel Imports 2050,54.62474504999999,54.62474504999999,14.378490797297903,30.634054805175587,1.0,1.0
Passenger Cars,BioFuel Imports 2050,-0.03321577500000021,0.04414222500000005,0.06822065670634406,0.17249835330193994,0.0008080994237976779,0.005630934409401022
Bunker aviation,BioFuel Imports 2050,-0.26918175,0.86130915,0.5875122615607546,1.6738400609019446,0.015767746818984928,0.054639846783167315
Bunker navigation,BioFuel Imports 2050,-0.1489700249999993,1.2661946250000002,0.7693022272457671,2.4584156309588616,0.023179872488942637,0.0802510685116198
Agriculture neGHG CH4,BioFuel Imports 2050,-0.09799807499999993,0.9188363250000006,0.7970996113762866,2.166217301400764,0.016820880796037708,0.07071271874315456
Agriculture neGHG N2O,BioFuel Imports 2050,-0.31978177500000077,0.3533489250000006,0.5135703664695683,1.2490598032655826,0.006468660396978835,0.040773570825320696
Wind offshore Costs,BioFuel Imports 2050,-0.7524536999999998,0.9169802999999999,0.8049115919235045,2.0420860842151054,0.016786903063083496,0.06666065257120639
Wind offshore Potential,BioFuel Imports 2050,-0.6864466499999994,1.5181949999999995,1.6084113512122078,4.073946318349527,0.027793173196695768,0.1329874985292916
Solar PV Costs,BioFuel Imports 2050,-0.3727011750000001,0.3727011750000001,0.6058180784180179,1.393438977962599,0.006822936650026528,0.0454865993687254
Solar PV Potential,BioFuel Imports 2050,-0.03319004999999988,0.7756936499999992,1.0143208302384854,2.3112368612495957,0.014200407695998929,0.0754466516413986
Nuclear Costs,BioFuel Imports 2050,0.6082349249999996,1.6578972750000003,1.90593808077393,4.8321897810496095,0.03035066385174828,0.15773915049055853
Nuclear Potential,BioFuel Imports 2050,-0.06922425000000017,0.06922425000000017,0.12585497571689394,0.2921069441518816,0.0012672690725903935,0.009535366637214819
Hydrogen Import Potential,BioFuel Imports 2050,0.1203299249999998,0.1203299249999998,0.2114996121468451,0.44825673259350163,0.0022028464369006667,0.014632628146822051
Hydrogen Import Price,BioFuel Imports 2050,3.344604975,3.7936263749999997,3.7058437610448443,8.733921077364267,0.0694488618945051,0.28510496350906445
Biomass Import Potential,BioFuel Imports 2050,-7.226690400000001,7.226690400000001,6.04523679362138,14.291357122983849,0.1322970092287873,0.4665186249052914
Biomass Import Price,BioFuel Imports 2050,12.439581225000001,12.439581225000001,12.11433387059299,25.4168365528643,0.2277279502835868,0.8296922073982239
Ammonia Import Potential,BioFuel Imports 2050,0.36666914999999956,0.8663733000000002,0.6618940003408202,1.9729874143880213,0.01586045480316618,0.06440503638632544
Ammonia Import Price,BioFuel Imports 2050,0.5240830500000007,2.8320987000000004,2.943880972527548,7.490651581827244,0.05184644243936844,0.2445204080708802
CCS potential,BioFuel Imports 2050,-2.4606513,5.555962200000001,4.905850287115638,13.116239605566753,0.10171145320521732,0.4281587824067867
Flexibility Costs,BioFuel Imports 2050,-0.2680537499999993,0.7191205500000007,0.5678597796510888,1.4542827564725003,0.013164739704354939,0.04747274775478958
LNG Import Price,BioFuel Imports 2050,1.17412875,2.86101705,3.656408353506308,8.786554340965061,0.05237584262189615,0.28682309269357914
Electricity Trade Price,BioFuel Imports 2050,1.3296513,1.3316197500000002,2.4676640142403636,5.916521464422818,0.024377592037841476,0.1931354338186804
Weather Conditions,BioFuel Imports 2050,1.5927524249999998,2.3799824249999992,2.2967485962356267,5.81846394389381,0.04356967566295304,0.1899345020075758
Electricity Trade Ratio,BioFuel Imports 2050,-0.4777334249999994,0.5613978749999993,0.4620764826346756,1.1519794471915021,0.010277354603415204,0.03760453699380588
Electricity Trade Volume,BioFuel Imports 2050,-0.6357216750000001,1.1596787250000007,0.8600269780673224,2.3026039175958495,0.02122991556186679,0.0751648429252933
