Parameter,Outcome,mu,mu_star,mu_star_conf,sigma,mu_star_norm,sigma_norm,Method,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm,ComputedAt,Methods
CO2 Cap,techUseNet 2050 TNB01_07,,,,,,,Delta_4000,0.07159909693946315,0.07159909693946315,0.01952488530862111,0.0,0.0,0.414475583013573,20251109_120516,Delta_4000
Buildings demand,techUseNet 2050 TNB01_07,,,,,,,Delta_4000,0.07026563855454727,0.07026563855454727,0.017680637808804002,0.0,0.0,0.39870656519167297,20251109_120516,Delta_4000
Steel Production,techUseNet 2050 TNB01_07,,,,,,,Delta_4000,0.046609858463695655,0.046609858463695655,0.019335753860347686,0.0,0.0,0.11896148873237185,20251109_120516,Delta_4000
Chemical Production,techUseNet 2050 TNB01_07,,,,,,,Delta_4000,0.0904693625598827,0.0904693625598827,0.016243430189469985,0.0,0.0,0.6376288199187925,20251109_120516,Delta_4000
Passenger Cars,techUseNet 2050 TNB01_07,,,,,,,Delta_4000,0.05514320815688479,0.05514320815688479,0.019999666745340584,0.0,0.0,0.2198739318311447,20251109_120516,Delta_4000
Bunker aviation,techUseNet 2050 TNB01_07,,,,,,,Delta_4000,0.09101040231568171,0.09101040231568171,0.01818371713504313,0.0,0.0,0.6440269690084541,20251109_120516,Delta_4000
Bunker navigation,techUseNet 2050 TNB01_07,,,,,,,Delta_4000,0.04655957758744373,0.04655957758744373,0.015370953572830205,0.0,0.0,0.11836688447423642,20251109_120516,Delta_4000
Agriculture neGHG CH4,techUseNet 2050 TNB01_07,,,,,,,Delta_4000,0.059304859737434025,0.059304859737434025,0.020683617848881685,0.0,0.0,0.2690881845476699,20251109_120516,Delta_4000
Agriculture neGHG N2O,techUseNet 2050 TNB01_07,,,,,,,Delta_4000,0.09348776534652904,0.09348776534652904,0.017704183333097884,0.0,0.0,0.6733234076725018,20251109_120516,Delta_4000
Wind offshore Costs,techUseNet 2050 TNB01_07,,,,,,,Delta_4000,0.12111216441277092,0.12111216441277092,0.018226287914723974,0.0,0.0,1.0,20251109_120516,Delta_4000
Wind offshore Potential,techUseNet 2050 TNB01_07,,,,,,,Delta_4000,0.07251988495744446,0.07251988495744446,0.019249396145746864,0.0,0.0,0.4253645037552994,20251109_120516,Delta_4000
