Parameter,Outcome,delta_raw_3200,delta_3200,delta_conf_3200,S1_3200,S1_conf_3200,delta_3200_norm
CO2 Cap,BioEnergy Imports 2050,0.05412901493051183,0.05412901493051183,0.008326064660639393,0.0,0.0,0.019351433666056187
Buildings demand,BioEnergy Imports 2050,0.0625262201487189,0.0625262201487189,0.008918621890791767,0.0,0.0,0.04858398294304184
Steel Production,BioEnergy Imports 2050,0.06612899642397528,0.06612899642397528,0.007538571815169443,0.0,0.0,0.06112605286554801
Chemical Production,BioEnergy Imports 2050,0.13148656304723594,0.13148656304723594,0.0107634204849805,0.0,0.0,0.2886503585471321
Passenger Cars,BioEnergy Imports 2050,0.04857021271245392,0.04857021271245392,0.008272475866524936,0.0,0.0,0.0
Bunker aviation,BioEnergy Imports 2050,0.06293681129401181,0.06293681129401181,0.00924462630169559,0.0,0.0,0.05001334254252433
Bunker navigation,BioEnergy Imports 2050,0.06548368499617449,0.06548368499617449,0.009777927604477859,0.0,0.0,0.05887957947088964
Agriculture neGHG CH4,BioEnergy Imports 2050,0.049731364265275246,0.049731364265275246,0.010201135670598892,0.0,0.0,0.004042228229971178
Agriculture neGHG N2O,BioEnergy Imports 2050,0.06804745589397557,0.06804745589397557,0.007892256969037075,0.0,0.0,0.06780463931608344
Wind offshore Costs,BioEnergy Imports 2050,0.05324189919840463,0.05324189919840463,0.007712191960900004,0.0,0.0,0.01626318541210319
Wind offshore Potential,BioEnergy Imports 2050,0.07390037653933093,0.07390037653933093,0.008836399834937772,0.0,0.0,0.08817996500285624
Solar PV Costs,BioEnergy Imports 2050,0.06333129512790964,0.06333129512790964,0.009075002575086848,0.0,0.0,0.05138662898887543
Solar PV Potential,BioEnergy Imports 2050,0.06016003377751815,0.06016003377751815,0.008139623861624031,0.0,0.0,0.04034675902183979
Nuclear Costs,BioEnergy Imports 2050,0.06970917417776136,0.06970917417776136,0.008995655462271343,0.0,0.0,0.07358945228098653
Nuclear Potential,BioEnergy Imports 2050,0.0589264358238309,0.0589264358238309,0.008367624606213472,0.0,0.0,0.036052328668874
Hydrogen Import Potential,BioEnergy Imports 2050,0.082543920559404,0.082543920559404,0.008588935309379646,0.0,0.0,0.11827007473921565
Hydrogen Import Price,BioEnergy Imports 2050,0.05448043831306457,0.05448043831306457,0.008272329639332977,0.0,0.0,0.02057481705143348
Biomass Import Potential,BioEnergy Imports 2050,0.335825530017882,0.335825530017882,0.011385819832185642,0.0,0.0,1.0
Biomass Import Price,BioEnergy Imports 2050,0.2021948600970118,0.2021948600970118,0.01275544985053222,0.0,0.0,0.5348017534561925
Ammonia Import Potential,BioEnergy Imports 2050,0.07204615615694766,0.07204615615694766,0.009147571466853358,0.0,0.0,0.08172500918245017
