Parameter,Outcome,mu,mu_star,mu_star_conf,sigma,mu_star_norm,sigma_norm,Method,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm,ComputedAt,Methods
CO2 Cap,techUseNet 2050 TNB01_01,0.09818865,0.3205125,0.320278824206522,0.6998770615853132,0.2038865397527226,0.3278533470064242,Morris,,,,,,,20251109_120457,Morris
Buildings demand,techUseNet 2050 TNB01_01,-0.0101989499999999,0.0101989499999999,0.024171034742211,0.0456110909982429,0.0064878237966102,0.0213662508248467,Morris,,,,,,,20251109_120457,Morris
Steel Production,techUseNet 2050 TNB01_01,-0.0975768749999999,0.1411136249999999,0.1425809511155442,0.359731890867091,0.0897661361513615,0.1685143161837274,Morris,,,,,,,20251109_120457,Morris
Chemical Production,techUseNet 2050 TNB01_01,-0.09703185,0.1496148,0.1600739445947486,0.4120671790211838,0.0951739600414824,0.1930304781350838,Morris,,,,,,,20251109_120457,Morris
Passenger Cars,techUseNet 2050 TNB01_01,0.04354635,0.0435991499999999,0.0756504351495849,0.1947551528910285,0.0277345808031197,0.0912319208997083,Morris,,,,,,,20251109_120457,Morris
Bunker aviation,techUseNet 2050 TNB01_01,-0.53385315,0.6672434999999999,0.4127865397576526,1.1209366855301617,0.4244513658203525,0.5250962837686224,Morris,,,,,,,20251109_120457,Morris
Bunker navigation,techUseNet 2050 TNB01_01,0.02111055,0.06396495,0.0897848271007661,0.200507593582998,0.0406898087311911,0.0939266183513525,Morris,,,,,,,20251109_120457,Morris
Agriculture neGHG CH4,techUseNet 2050 TNB01_01,0.0384189,0.09327015,0.1059135955690273,0.2396303856678688,0.0593316271462654,0.1122534632120878,Morris,,,,,,,20251109_120457,Morris
Agriculture neGHG N2O,techUseNet 2050 TNB01_01,0.0140588249999999,0.016387425,0.0185919126325209,0.0531115313783112,0.0104244776060442,0.0248797885839747,Morris,,,,,,,20251109_120457,Morris
Wind offshore Costs,techUseNet 2050 TNB01_01,-0.0658305,0.1084790999999999,0.1654708121845261,0.4048251788703625,0.0690064454100528,0.1896380052012093,Morris,,,,,,,20251109_120457,Morris
Wind offshore Potential,techUseNet 2050 TNB01_01,-0.069252975,0.069252975,0.1021269787048298,0.2239968842290043,0.0440536623074975,0.1049300402089798,Morris,,,,,,,20251109_120457,Morris
Solar PV Costs,techUseNet 2050 TNB01_01,0.0,0.0,0.0,0.0,0.0,0.0,Morris,,,,,,,20251109_120457,Morris
Solar PV Potential,techUseNet 2050 TNB01_01,-0.0566946,0.24730845,0.3007431141384376,0.7652035241952163,0.1573194933804741,0.3584551492232783,Morris,,,,,,,20251109_120457,Morris
Nuclear Costs,techUseNet 2050 TNB01_01,-0.103692225,0.109801275,0.1122717023963132,0.2694549124252846,0.0698475161504999,0.1262245896527127,Morris,,,,,,,20251109_120457,Morris
Nuclear Potential,techUseNet 2050 TNB01_01,0.0535674,0.0738302999999999,0.106844867123022,0.2901577133665777,0.0469654206806456,0.1359226965825729,Morris,,,,,,,20251109_120457,Morris
Hydrogen Import Potential,techUseNet 2050 TNB01_01,-0.0241289999999999,0.0241289999999999,0.0425123204431092,0.1079081684581848,0.0153490997003032,0.0505489551525135,Morris,,,,,,,20251109_120457,Morris
Hydrogen Import Price,techUseNet 2050 TNB01_01,-0.129826875,0.129826875,0.1261230953652976,0.2951875288463553,0.0825863337955906,0.1382788844481024,Morris,,,,,,,20251109_120457,Morris
Biomass Import Potential,techUseNet 2050 TNB01_01,0.70959405,0.70959405,0.6407265680048803,1.478258435001097,0.4513916789005746,0.692481583205182,Morris,,,,,,,20251109_120457,Morris
Biomass Import Price,techUseNet 2050 TNB01_01,-1.5720140250000003,1.5720140250000003,0.903776855655722,2.1347259925078608,1.0,1.0,Morris,,,,,,,20251109_120457,Morris
Ammonia Import Potential,techUseNet 2050 TNB01_01,0.326225475,0.723447375,0.6125988086135248,1.6451130274741197,0.4602041479878017,0.7706436485281433,Morris,,,,,,,20251109_120457,Morris
Ammonia Import Price,techUseNet 2050 TNB01_01,0.2521004249999999,0.2521004249999999,0.3027161045082002,0.7778837442715849,0.1603677963369315,0.3643951247146865,Morris,,,,,,,20251109_120457,Morris
CCS potential,techUseNet 2050 TNB01_01,0.113633175,0.634482525,0.549011369453647,1.3956063273772263,0.4036112368653962,0.6537636831496477,Morris,,,,,,,20251109_120457,Morris
Flexibility Costs,techUseNet 2050 TNB01_01,0.107326575,0.110565525,0.1783145284476289,0.4028365494438773,0.0703336759352385,0.1887064432895333,Morris,,,,,,,20251109_120457,Morris
LNG Import Price,techUseNet 2050 TNB01_01,1.359150225,1.359150225,0.8504717646164309,2.078314766791344,0.8645916660953453,0.9735744887566364,Morris,,,,,,,20251109_120457,Morris
Electricity Trade Price,techUseNet 2050 TNB01_01,-0.2392713,0.25893075,0.4248929861383778,1.0009569726298426,0.1647127480303491,0.4688924836924506,Morris,,,,,,,20251109_120457,Morris
Weather Conditions,techUseNet 2050 TNB01_01,-0.177074475,0.2224652249999999,0.2737588518669152,0.6398926265181952,0.141516056130606,0.2997539865837554,Morris,,,,,,,20251109_120457,Morris
Electricity Trade Ratio,techUseNet 2050 TNB01_01,-0.1881237,0.34036635,0.4603065979309731,1.1456373483746871,0.2165161026473666,0.5366671659011377,Morris,,,,,,,20251109_120457,Morris
Electricity Trade Volume,techUseNet 2050 TNB01_01,0.1107091499999999,0.701964,0.7075561936299833,1.6637020890336325,0.4465380008298589,0.7793515865139802,Morris,,,,,,,20251109_120457,Morris
WACC,techUseNet 2050 TNB01_01,-0.2705751,0.3168051,0.243060793997327,0.6448887317812152,0.2015281638470114,0.3020943830939185,Morris,,,,,,,20251109_120457,Morris
Bunker Emission Reduction,techUseNet 2050 TNB01_01,-1.2839450250000002,1.2839450250000002,0.9238842261387415,1.9869127780823927,0.8167516348971504,0.9307577576961914,Morris,,,,,,,20251109_120457,Morris
End-of-Life Emission Reduction,techUseNet 2050 TNB01_01,0.0,0.0,0.0,0.0,0.0,0.0,Morris,,,,,,,20251109_120457,Morris
CO2 Cap,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Buildings demand,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Steel Production,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Chemical Production,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Passenger Cars,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Bunker aviation,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Bunker navigation,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Agriculture neGHG CH4,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Agriculture neGHG N2O,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Wind offshore Costs,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Wind offshore Potential,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Solar PV Costs,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Solar PV Potential,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Nuclear Costs,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Nuclear Potential,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Hydrogen Import Potential,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Hydrogen Import Price,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Biomass Import Potential,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Biomass Import Price,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Ammonia Import Potential,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Ammonia Import Price,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
CCS potential,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Flexibility Costs,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
LNG Import Price,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Electricity Trade Price,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Weather Conditions,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Electricity Trade Ratio,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Electricity Trade Volume,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
WACC,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
Bunker Emission Reduction,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
End-of-Life Emission Reduction,techUseNet 2050 TNB01_08,0.0,0.0,0.0,0.0,1.0,1.0,Morris,,,,,,,20251109_120500,Morris
CO2 Cap,techUseNet 2050 TNB01_07,1.9507740749999976,5.837540775000003,2.6546461244262494,8.325921038979965,0.2121107591844242,0.3329501551394159,Morris,,,,,,,20251109_120516,Morris
Buildings demand,techUseNet 2050 TNB01_07,-2.577812849999998,3.2970798,2.1098390281499517,5.0166404438403305,0.1198014928588878,0.2006133863431329,Morris,,,,,,,20251109_120516,Morris
