Parameter,Outcome,mu,mu_star,mu_star_conf,sigma,mu_star_norm,sigma_norm,Method,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm,ComputedAt,Methods
CO2 Cap,techUseNet 2050 TNB01_07,1.9507740749999978,5.837540775000003,2.6546461244262494,8.325921038979965,0.21211075918442424,0.33295015513941595,Morris,,,,,,,20251109_120516,Morris
Buildings demand,techUseNet 2050 TNB01_07,-2.577812849999998,3.2970798,2.1098390281499513,5.0166404438403305,0.11980149285888789,0.20061338634313294,Morris,,,,,,,20251109_120516,Morris
Steel Production,techUseNet 2050 TNB01_07,0.6767999249999981,3.124188375,1.390361397565786,4.451385879884534,0.1135193729000381,0.17800908900699072,Morris,,,,,,,20251109_120516,Morris
Chemical Production,techUseNet 2050 TNB01_07,1.3357764000000016,11.157377999999998,4.357304352284697,15.478308034463883,0.4054104304029622,0.6189711669427255,Morris,,,,,,,20251109_120516,Morris
Passenger Cars,techUseNet 2050 TNB01_07,-0.11710229999999981,0.8327959500000016,0.5160129344650347,1.4808210812343912,0.030260170850834715,0.05921742548631137,Morris,,,,,,,20251109_120516,Morris
Bunker aviation,techUseNet 2050 TNB01_07,-1.6479613499999997,5.825703450000002,2.086190456034814,7.633024469923964,0.2116806424470447,0.3052415065607563,Morris,,,,,,,20251109_120516,Morris
Bunker navigation,techUseNet 2050 TNB01_07,27.521191275,27.521191275,3.970395263919772,10.717799175444531,1.0,0.42860037724481576,Morris,,,,,,,20251109_120516,Morris
Agriculture neGHG CH4,techUseNet 2050 TNB01_07,-2.7222158249999984,4.650592125,2.2879622784983233,6.213646408316747,0.16898222458940415,0.2484811621374679,Morris,,,,,,,20251109_120516,Morris
Agriculture neGHG N2O,techUseNet 2050 TNB01_07,-1.5133741499999984,2.032519349999998,0.950982588746173,2.9986463952006033,0.07385288411720463,0.11991463500746921,Morris,,,,,,,20251109_120516,Morris
Wind offshore Costs,techUseNet 2050 TNB01_07,-3.7305836249999986,7.801524225,4.207766348749722,12.272323201623765,0.2834733477575454,0.49076515316103503,Morris,,,,,,,20251109_120516,Morris
