Parameter,Outcome,mu,mu_star,mu_star_conf,sigma,mu_star_norm,sigma_norm,Method,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm,ComputedAt,Methods
CO2 Cap,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.09122620087076944,0.09122620087076944,0.00943723635431863,0.0,0.0,0.3929649878250006,20251109_120457,Delta_4000
Buildings demand,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.10037281353357157,0.10037281353357157,0.013695980140231698,0.0,0.0,0.5428534947200783,20251109_120457,Delta_4000
Steel Production,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.08218124441642928,0.08218124441642928,0.009083232955801246,0.0,0.0,0.244742354173353,20251109_120457,Delta_4000
Chemical Production,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.08517354475426492,0.08517354475426492,0.010826605657388706,0.0,0.0,0.2937781498667518,20251109_120457,Delta_4000
Passenger Cars,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.09173431028722512,0.09173431028722512,0.011163277105949162,0.0,0.0,0.40129154155363955,20251109_120457,Delta_4000
Bunker aviation,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.1047483228794746,0.1047483228794746,0.009630083497048447,0.0,0.0,0.6145563848435507,20251109_120457,Delta_4000
Bunker navigation,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.06724638675337313,0.06724638675337313,0.011478296383300652,0.0,0.0,0.0,20251109_120457,Delta_4000
Agriculture neGHG CH4,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.11245169486321217,0.11245169486321217,0.009715719830148106,0.0,0.0,0.740794038854589,20251109_120457,Delta_4000
Agriculture neGHG N2O,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.1282691619632482,0.1282691619632482,0.011718200333680578,0.0,0.0,1.0,20251109_120457,Delta_4000
Wind offshore Costs,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.08500870844766935,0.08500870844766935,0.00940518358432027,0.0,0.0,0.2910769238732003,20251109_120457,Delta_4000
Wind offshore Potential,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.08462138990476045,0.08462138990476045,0.009594758517694093,0.0,0.0,0.28472980934789727,20251109_120457,Delta_4000
Solar PV Costs,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.0950497908469527,0.0950497908469527,0.010055121054061403,0.0,0.0,0.4556233963131892,20251109_120457,Delta_4000
Solar PV Potential,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.09316376412398356,0.09316376412398356,0.009890521968034001,0.0,0.0,0.4247164649833284,20251109_120457,Delta_4000
Nuclear Costs,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.09638782568928696,0.09638782568928696,0.01129493362988443,0.0,0.0,0.4775502070446312,20251109_120457,Delta_4000
Nuclear Potential,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.09086806979111416,0.09086806979111416,0.010085301225781837,0.0,0.0,0.3870961777221568,20251109_120457,Delta_4000
Hydrogen Import Potential,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.10365938786926057,0.10365938786926057,0.008538345662802078,0.0,0.0,0.596711653815359,20251109_120457,Delta_4000
Hydrogen Import Price,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.09238284017760204,0.09238284017760204,0.011574396448519967,0.0,0.0,0.4119192111105622,20251109_120457,Delta_4000
Biomass Import Potential,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.08236621178883918,0.08236621178883918,0.010563419439965364,0.0,0.0,0.24777347446858286,20251109_120457,Delta_4000
Biomass Import Price,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.09685783527757504,0.09685783527757504,0.008955541548530333,0.0,0.0,0.4852524065377152,20251109_120457,Delta_4000
Ammonia Import Potential,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.09000502213334642,0.09000502213334642,0.009515504202903343,0.0,0.0,0.37295313596767316,20251109_120457,Delta_4000
Ammonia Import Price,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.09941801868614399,0.09941801868614399,0.01063684561820572,0.0,0.0,0.527206962025625,20251109_120457,Delta_4000
CCS potential,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.07711959851000814,0.07711959851000814,0.011503903167181974,0.0,0.0,0.16179552179785606,20251109_120457,Delta_4000
Flexibility Costs,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.09062533511000359,0.09062533511000359,0.00933773089433559,0.0,0.0,0.3831184058119851,20251109_120457,Delta_4000
LNG Price,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.10321566587930547,0.10321566587930547,0.010267761243339819,0.0,0.0,0.5894402377181885,20251109_120457,Delta_4000
Electricity Trade Price,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.08771674274928488,0.08771674274928488,0.008672047013260641,0.0,0.0,0.33545435987642724,20251109_120457,Delta_4000
Weather Conditions,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.0822425045027897,0.0822425045027897,0.00804925108566457,0.0,0.0,0.24574624306810966,20251109_120457,Delta_4000
Electricity Trade Ratio,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.08427387270714164,0.08427387270714164,0.009169982188813184,0.0,0.0,0.2790349323708407,20251109_120457,Delta_4000
Electricity Trade Volume,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.0739896412310005,0.0739896412310005,0.009565317517884246,0.0,0.0,0.1105038971832297,20251109_120457,Delta_4000
WACC,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.08614971617372522,0.08614971617372522,0.009736469704597338,0.0,0.0,0.3097749873770578,20251109_120457,Delta_4000
Bunker Emission Reduction,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.0896755282998963,0.0896755282998963,0.01184605908210066,0.0,0.0,0.36755361370214373,20251109_120457,Delta_4000
End-of-Life Emission Reduction,techUseNet 2050 TNB01_01,,,,,,,Delta_4000,0.07676994138922716,0.07676994138922716,0.008731233130109836,0.0,0.0,0.15606557720621117,20251109_120457,Delta_4000
