Parameter,Outcome,Final_Delta,Max_Delta,Converged_At_Size,Max_Relative_Change,Sample_Sizes_Analyzed,Delta_Trajectory
Biomass Import Potential,techStocks 2050 EPB01_02,0.8916887106382582,0.8940825078819402,800.0,0.07176003374621341,10,"[0.7159395201457955, 0.7673153642717057, 0.7815207310252972, 0.8285693317217658, 0.8609942772386056, 0.8716545460713353, 0.8834087502696591, 0.885350084943187, 0.8940825078819402, 0.8916887106382582]"
Hydrogen Import Potential,techStocks 2050 Hyd03_01,0.8861211942600974,0.8914772250077969,1200.0,0.12395702515560104,10,"[0.6925144927146054, 0.778356529108648, 0.7860165118575292, 0.8255736767970346, 0.8596312865265356, 0.8748001884685405, 0.8822721693188608, 0.8914772250077969, 0.8900155026289931, 0.8861211942600974]"
CCS potential,CO2 Storage 2050,0.8633671371367143,0.8633671371367143,800.0,0.05052673069270902,10,"[0.7172025704571506, 0.7381340815273398, 0.7754295834797819, 0.8134513181713128, 0.8178837275593592, 0.8401934899554213, 0.8422121483954621, 0.843243731062466, 0.84335332839273, 0.8633671371367143]"
Solar PV Potential,Electricity capacity_Carrier_sum 2050 Solar PV,0.44300852914150357,0.520641027623669,2400.0,0.245026914721408,10,"[0.3754616050153797, 0.3594828275497744, 0.4181765241116652, 0.520641027623669, 0.4122322963594636, 0.40609806822947514, 0.40751646730721625, 0.42885759957715464, 0.4372490240803426, 0.44300852914150357]"
Electricity Trade Ratio,techUseNet 2050 PEU01_03,0.4127668349566004,0.4219082886927111,1200.0,0.22014384521114985,10,"[0.3457856959641496, 0.4219082886927111, 0.4087920574782272, 0.4126428007341096, 0.4153590673815841, 0.3991089827962481, 0.4005584561652772, 0.4069329100716687, 0.4119594990048598, 0.4127668349566004]"
Chemical Production,BioFuel Imports 2050,0.38937351397898,0.451941923066804,2800.0,0.1203957026934261,10,"[0.451941923066804, 0.44699735804220936, 0.3931807970186126, 0.38298214156956006, 0.4075840287240864, 0.36087631928288433, 0.3624588459168928, 0.36492747114112445, 0.3960316073098333, 0.38937351397898]"
Wind offshore Potential,comPrices 2050 Ammonia,0.349350372404543,0.42020041980351963,,3.331691522703088,10,"[0.1376591243680363, 0.09700608125051888, 0.42020041980351963, 0.08501745723642484, 0.08131169391551941, 0.2128190037574544, 0.14790604743845884, 0.10211868733486248, 0.21830837591276345, 0.349350372404543]"
Weather Conditions,Electricity generation_Carrier_sum 2050 Wind onshore,0.34288922482644435,0.39187815082965033,1200.0,0.1781114823960142,10,"[0.39187815082965033, 0.32208015246677246, 0.3024347144215346, 0.3310400521622665, 0.34053587191841933, 0.3596059649186821, 0.33719484881291334, 0.3380970098683597, 0.3189226417402379, 0.34288922482644435]"
Biomass Import Potential,BioEnergy Imports 2050,0.3354070252682093,0.3391619797961005,2400.0,0.23243732663679195,10,"[0.3081080615886033, 0.2575623258760278, 0.27077918062209283, 0.3337183694747931, 0.2937755033741104, 0.3065950048413514, 0.3153347184109068, 0.335825530017882, 0.3391619797961005, 0.3354070252682093]"
WACC,comPrices 2050 Ammonia,0.3318798222105809,0.39546746686868045,,2.8073108762418912,10,"[0.16983011191957129, 0.09172438403168676, 0.06460585197119445, 0.08513802368393505, 0.1038705479335686, 0.39546746686868045, 0.1268581706473576, 0.1003890120143026, 0.10531198682054146, 0.3318798222105809]"
