Parameter,Outcome,mu,mu_star,mu_star_conf,sigma,mu_star_norm,sigma_norm,Method,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm,ComputedAt,Methods
CO2 Cap,techUseNet 2050 TNB01_04,0.43038914999999933,4.3402269,1.7283933688803952,6.061720162576354,0.21467913315435969,0.2884213659876667,Morris,,,,,,,20251109_120730,Morris
Buildings demand,techUseNet 2050 TNB01_04,0.41838299999999995,2.4906843000000007,1.7865198518917078,4.8081535218056155,0.12319585100151637,0.22877568898663558,Morris,,,,,,,20251109_120730,Morris
Steel Production,techUseNet 2050 TNB01_04,-1.1492241749999998,2.3562120749999993,1.2996082849455248,3.627218802605927,0.11654449812032522,0.17258589537711486,Morris,,,,,,,20251109_120730,Morris
Chemical Production,techUseNet 2050 TNB01_04,-4.6846572,8.91676755,3.736638654265702,12.191166503293603,0.44104697110948815,0.5800651962740183,Morris,,,,,,,20251109_120730,Morris
Passenger Cars,techUseNet 2050 TNB01_04,0.006158774999999483,0.6446283750000003,0.4452314166301868,1.2936384278990976,0.031885029041155324,0.061552323839082476,Morris,,,,,,,20251109_120730,Morris
Bunker aviation,techUseNet 2050 TNB01_04,4.692825599999999,6.417526499999998,2.4455587260467917,6.926377489824156,0.3174278805596849,0.32956243498252147,Morris,,,,,,,20251109_120730,Morris
Bunker navigation,techUseNet 2050 TNB01_04,6.99610935,7.004965950000001,4.069918442469923,9.043137318998873,0.3464841937000588,0.43027951611199894,Morris,,,,,,,20251109_120730,Morris
Agriculture neGHG CH4,techUseNet 2050 TNB01_04,1.8036887249999995,3.3007209749999986,1.528302310612233,4.297190041195247,0.16326241323867483,0.20446364865899058,Morris,,,,,,,20251109_120730,Morris
Agriculture neGHG N2O,techUseNet 2050 TNB01_04,1.2061936500000001,1.6542247499999998,1.0948907359228284,2.759380539733749,0.08182234329096649,0.13129347498805263,Morris,,,,,,,20251109_120730,Morris
Wind offshore Costs,techUseNet 2050 TNB01_04,1.1196350249999996,4.771142024999999,3.196722961974007,8.95866551054428,0.23599333806334777,0.42626028168208635,Morris,,,,,,,20251109_120730,Morris
Wind offshore Potential,techUseNet 2050 TNB01_04,-3.3165875250000014,6.382112775000001,4.16925538101204,11.338522295824262,0.3156762238007338,0.5394957208736136,Morris,,,,,,,20251109_120730,Morris
Solar PV Costs,techUseNet 2050 TNB01_04,-0.5000537250000002,0.502881375,0.8260650125174683,1.9214836132234387,0.024873846495092795,0.091425686700337,Morris,,,,,,,20251109_120730,Morris
Solar PV Potential,techUseNet 2050 TNB01_04,-0.028496250000000868,1.5821182500000002,1.2668528928735001,3.2445416999624985,0.078255764567906,0.15437782081800988,Morris,,,,,,,20251109_120730,Morris
Nuclear Costs,techUseNet 2050 TNB01_04,-0.7381927499999994,2.5179931499999997,3.0253928909104437,6.643038515845723,0.12454661914809464,0.31608094594630204,Morris,,,,,,,20251109_120730,Morris
Nuclear Potential,techUseNet 2050 TNB01_04,-0.9259429499999999,1.2655533,1.4977438599046848,3.159230763292871,0.06259762258158423,0.1503186600141427,Morris,,,,,,,20251109_120730,Morris
Hydrogen Import Potential,techUseNet 2050 TNB01_04,1.5097973249999999,1.6135616250000004,2.075514733926589,5.033910033405436,0.07981103728612439,0.23951735961970494,Morris,,,,,,,20251109_120730,Morris
Hydrogen Import Price,techUseNet 2050 TNB01_04,-0.3103291500000003,1.2819534000000004,0.9755407320504271,2.724614028107608,0.06340881502215567,0.1296392572899569,Morris,,,,,,,20251109_120730,Morris
Biomass Import Potential,techUseNet 2050 TNB01_04,20.2172742,20.2172742,5.792720847474559,16.430765834198144,1.0,0.7817886340877782,Morris,,,,,,,20251109_120730,Morris
Biomass Import Price,techUseNet 2050 TNB01_04,-20.130280199999998,20.130280199999998,8.710785870784925,21.016890138560544,0.9956970460439222,1.0,Morris,,,,,,,20251109_120730,Morris
Ammonia Import Potential,techUseNet 2050 TNB01_04,-10.591669875,10.591669875,6.337242855917607,14.49397753521526,0.5238920820987826,0.6896347385202614,Morris,,,,,,,20251109_120730,Morris
Ammonia Import Price,techUseNet 2050 TNB01_04,3.4418622,3.4418622,3.1013734636407984,7.281741344856404,0.17024363254666647,0.3464709239496997,Morris,,,,,,,20251109_120730,Morris
CCS potential,techUseNet 2050 TNB01_04,-14.776058475000003,14.788003275000003,4.651965174732577,12.079749731198916,0.7314538611243648,0.5747638994903298,Morris,,,,,,,20251109_120730,Morris
Flexibility Costs,techUseNet 2050 TNB01_04,0.8603841750000006,1.3074086249999997,0.9874198463200051,2.4753635359035657,0.06466789796025024,0.11777972476346134,Morris,,,,,,,20251109_120730,Morris
LNG Price,techUseNet 2050 TNB01_04,-2.0719194750000005,4.624193625000002,3.411059200977201,8.69888946588393,0.2287248804786949,0.4138999351727934,Morris,,,,,,,20251109_120730,Morris
Electricity Trade Price,techUseNet 2050 TNB01_04,0.9819687750000006,1.5179372250000005,1.136797763758942,2.8735172262986377,0.07508120085743313,0.13672418742040615,Morris,,,,,,,20251109_120730,Morris
Weather Conditions,techUseNet 2050 TNB01_04,0.1552258499999999,4.740039749999999,2.629145120705125,7.923731183865434,0.23445493705575798,0.37701730044862547,Morris,,,,,,,20251109_120730,Morris
Electricity Trade Ratio,techUseNet 2050 TNB01_04,3.2552489249999987,3.466265775,2.409323508278907,5.7045858532600855,0.17145069808668867,0.2714286374268879,Morris,,,,,,,20251109_120730,Morris
Electricity Trade Volume,techUseNet 2050 TNB01_04,1.0336005749999997,2.005805175,1.0824251030681236,3.0812730361688523,0.09921244353504391,0.14660937064687393,Morris,,,,,,,20251109_120730,Morris
WACC,techUseNet 2050 TNB01_04,-0.9114629999999992,6.699917999999999,4.705601424387469,11.891072171607199,0.3313957130778787,0.5657864742695764,Morris,,,,,,,20251109_120730,Morris
Bunker Emission Reduction,techUseNet 2050 TNB01_04,3.404133075,11.318188275,3.771580705370569,13.977711288993556,0.5598276089563053,0.6650703884752235,Morris,,,,,,,20251109_120730,Morris
End-of-Life Emission Reduction,techUseNet 2050 TNB01_04,0.0,0.0,0.0,0.0,0.0,0.0,Morris,,,,,,,20251109_120730,Morris
