Parameter,Outcome,mu,mu_star,mu_star_conf,sigma,mu_star_norm,sigma_norm,Method,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm,ComputedAt,Methods
CO2 Cap,techUseNet 2050 TNB01_01,0.09818865000000006,0.32051250000000003,0.32027882420652204,0.6998770615853132,0.2038865397527226,0.32785334700642427,Morris,,,,,,,20251109_120457,Morris
Buildings demand,techUseNet 2050 TNB01_01,-0.010198949999999995,0.010198949999999995,0.02417103474221108,0.045611090998242926,0.006487823796610207,0.021366250824846774,Morris,,,,,,,20251109_120457,Morris
Steel Production,techUseNet 2050 TNB01_01,-0.09757687499999992,0.14111362499999996,0.1425809511155442,0.359731890867091,0.08976613615136159,0.16851431618372742,Morris,,,,,,,20251109_120457,Morris
Chemical Production,techUseNet 2050 TNB01_01,-0.09703185,0.14961480000000002,0.16007394459474864,0.41206717902118384,0.09517396004148244,0.19303047813508387,Morris,,,,,,,20251109_120457,Morris
Passenger Cars,techUseNet 2050 TNB01_01,0.043546350000000004,0.04359914999999999,0.07565043514958492,0.1947551528910285,0.027734580803119732,0.09123192089970832,Morris,,,,,,,20251109_120457,Morris
Bunker aviation,techUseNet 2050 TNB01_01,-0.53385315,0.6672434999999999,0.4127865397576526,1.1209366855301617,0.4244513658203525,0.5250962837686224,Morris,,,,,,,20251109_120457,Morris
Bunker navigation,techUseNet 2050 TNB01_01,0.02111055000000005,0.06396495,0.08978482710076618,0.20050759358299802,0.040689808731191185,0.0939266183513525,Morris,,,,,,,20251109_120457,Morris
Agriculture neGHG CH4,techUseNet 2050 TNB01_01,0.03841890000000001,0.09327015000000001,0.10591359556902738,0.2396303856678688,0.059331627146265435,0.11225346321208782,Morris,,,,,,,20251109_120457,Morris
Agriculture neGHG N2O,techUseNet 2050 TNB01_01,0.014058824999999987,0.016387425,0.018591912632520975,0.05311153137831128,0.010424477606044258,0.024879788583974768,Morris,,,,,,,20251109_120457,Morris
Wind offshore Costs,techUseNet 2050 TNB01_01,-0.0658305,0.10847909999999998,0.1654708121845261,0.4048251788703625,0.06900644541005285,0.18963800520120935,Morris,,,,,,,20251109_120457,Morris
Wind offshore Potential,techUseNet 2050 TNB01_01,-0.069252975,0.069252975,0.10212697870482988,0.22399688422900432,0.04405366230749753,0.10493004020897989,Morris,,,,,,,20251109_120457,Morris
