kpi,parameter,delta,ci_lo,ci_hi
total_system_cost,CO2 Cap,0.053325820461605035,0.06172217211616395,0.07245311370671213
total_system_cost,Buildings demand,0.10109360688333008,0.10175725640423572,0.11588820764434218
total_system_cost,Steel Production,0.04560589654079958,0.0545238203476112,0.06768243649838784
total_system_cost,Chemical Production,0.10041463147202226,0.10279284117382556,0.11464343040960678
total_system_cost,Passenger Cars,0.08675046831220606,0.09002390540948219,0.1041658103591903
total_system_cost,Bunker aviation,0.05238134011606836,0.06239229530098526,0.07224695488225552
total_system_cost,Bunker navigation,0.09914542594553963,0.10054219705227327,0.11538177046806092
total_system_cost,Agriculture neGHG CH4,0.04553052643943746,0.0566407260978832,0.06663729578831219
total_system_cost,Agriculture neGHG N2O,0.04057146255124914,0.05231909324107447,0.06169456204080457
total_system_cost,Wind offshore Costs,0.05107239401952361,0.060903272082936055,0.07024185536759323
total_system_cost,Wind offshore Potential,0.0435378360690275,0.05419782330277653,0.06548593611769016
total_system_cost,Solar PV Costs,0.04083811985232891,0.05378920580297284,0.06173108958993398
total_system_cost,Solar PV Potential,0.04111207800058678,0.05356964682100227,0.063303962620742
total_system_cost,Nuclear Costs,0.04283477614152366,0.05528278497225479,0.06428871493338743
total_system_cost,Nuclear Potential,0.04012294195566599,0.05292178447789317,0.06264302365945025
total_system_cost,Hydrogen Import Potential,0.043865706209490145,0.055171423281120555,0.06455391966313603
total_system_cost,Hydrogen Import Price,0.0434923706477372,0.054162197179791545,0.06376509391269633
total_system_cost,Biomass Import Potential,0.04338410851542006,0.055402833783894836,0.06560520350528591
total_system_cost,Biomass Import Price,0.13244743349679536,0.1326509351431854,0.14520997977267264
total_system_cost,Ammonia Import Potential,0.04947326310699448,0.060107970403974545,0.07120867189160271
total_system_cost,Ammonia Import Price,0.05416131410432992,0.06359305331028017,0.07454514252099446
total_system_cost,CCS potential,0.08132578244142602,0.08612001879628169,0.096326668825648
total_system_cost,Flexibility Costs,0.04340277871125358,0.054455580862899235,0.06291934180878601
total_system_cost,LNG Price,0.036498379494501736,0.05021643120715177,0.059985715516507845
total_system_cost,Electricity Trade Price,0.03820412701480359,0.049949015358825684,0.06135841958872802
total_system_cost,Weather Conditions,0.059553184966557246,0.06445289915799896,0.07520866041968345
total_system_cost,Electricity Trade Ratio,0.049626751015679635,0.05892631753969262,0.06940238142795063
total_system_cost,Electricity Trade Volume,0.0636434221559222,0.06980474156416698,0.08297854700833426
total_system_cost,WACC,0.23442871324245118,0.23067529660870192,0.24250383766412714
total_system_cost,Bunker Emission Reduction,0.07419173724033735,0.08018531461800264,0.09074795834950494
total_system_cost,End-of-Life Emission Reduction,0.08877512533086435,0.09176903459750756,0.1042471310729786
unit_energy_cost,CO2 Cap,0.04570846659388315,0.055969720845489804,0.06691789073291445
unit_energy_cost,Buildings demand,0.03856713896601815,0.050739448299136236,0.06001769272235951
unit_energy_cost,Steel Production,0.03691552540208387,0.05013494790058236,0.06027086025200969
unit_energy_cost,Chemical Production,0.059071288408621234,0.0670353423870157,0.07889804162805976
unit_energy_cost,Passenger Cars,0.06727450791620682,0.0729711659810936,0.08378873278947498
unit_energy_cost,Bunker aviation,0.037489167332702286,0.05265907030262558,0.060040194057717294
unit_energy_cost,Bunker navigation,0.0389240848314762,0.051928600619304835,0.060716675484149496
unit_energy_cost,Agriculture neGHG CH4,0.042029818084957066,0.053381253273105,0.06386042458502117
unit_energy_cost,Agriculture neGHG N2O,0.04102236789999656,0.051684241046689526,0.060695953047215104
unit_energy_cost,Wind offshore Costs,0.04234795337590934,0.05408768423381586,0.06341959589790319
unit_energy_cost,Wind offshore Potential,0.039024351183811846,0.05158419699706106,0.0613384136224335
unit_energy_cost,Solar PV Costs,0.0399591716967435,0.05318653557777199,0.06297859387699771
unit_energy_cost,Solar PV Potential,0.040247704680257596,0.05201258272788092,0.061655439866142546
unit_energy_cost,Nuclear Costs,0.106046968303464,0.10636030937695357,0.11783901407980484
