kpi,parameter,delta,delta_unclipped,raw,noise_floor,floor_sd,classes,significant
battery_capacity,CO2 Cap,0.001036977170767929,0.001036977170767929,0.02449145055724744,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Buildings demand,0.0009527572192348684,0.0009527572192348684,0.02440723060571438,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Steel Production,0.002936107028287536,0.002936107028287536,0.026390580414767047,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Chemical Production,0.005667441145029577,0.005667441145029577,0.02912191453150909,0.02345447338647951,0.002368436960352675,13,True
battery_capacity,Passenger Cars,0.5789759931710072,0.5789759931710072,0.6024304665574868,0.02345447338647951,0.002368436960352675,13,True
battery_capacity,Bunker aviation,0.0,-0.0013011508655370561,0.022153322520942455,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Bunker navigation,0.0,-0.0028060438867348048,0.020648429499744707,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Agriculture neGHG CH4,9.992048561975261e-05,9.992048561975261e-05,0.023554393872099264,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Agriculture neGHG N2O,0.00186543208973702,0.00186543208973702,0.02531990547621653,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Wind offshore Costs,0.0027037880115030263,0.0027037880115030263,0.026158261397982538,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Wind offshore Potential,9.718824165022219e-05,9.718824165022219e-05,0.023551661628129734,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Solar PV Costs,0.0012519691432808545,0.0012519691432808545,0.024706442529760366,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Solar PV Potential,0.0013347143763810694,0.0013347143763810694,0.02478918776286058,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Nuclear Costs,0.0,-0.0015548458893520044,0.021899627497127507,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Nuclear Potential,0.006374130139132669,0.006374130139132669,0.02982860352561218,0.02345447338647951,0.002368436960352675,13,True
battery_capacity,Hydrogen Import Potential,0.0002331439099319474,0.0002331439099319474,0.02368761729641146,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Hydrogen Import Price,0.003658700819385602,0.003658700819385602,0.027113174205865113,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Biomass Import Potential,0.0017653574581275935,0.0017653574581275935,0.025219830844607105,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Biomass Import Price,0.001836603966868862,0.001836603966868862,0.025291077353348373,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Ammonia Import Potential,0.0,-5.922695023259997e-05,0.02339524643624691,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Ammonia Import Price,0.003193427860217056,0.003193427860217056,0.026647901246696568,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,CCS potential,0.0009759449874959525,0.0009759449874959525,0.024430418373975464,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Flexibility Costs,0.0009118303924980191,0.0009118303924980191,0.02436630377897753,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,LNG Price,0.0,-0.0035360872895208485,0.019918386096958663,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Electricity Trade Price,0.0,-0.00043745775422388694,0.023017015632255625,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Weather Conditions,5.9434002482885995e-05,5.9434002482885995e-05,0.023513907388962398,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Electricity Trade Ratio,0.001465800791685165,0.001465800791685165,0.024920274178164677,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,Electricity Trade Volume,0.0005618123407577849,0.0005618123407577849,0.024016285727237296,0.02345447338647951,0.002368436960352675,13,False
battery_capacity,WACC,0.004633245229654165,0.004633245229654165,0.028087718616133676,0.02345447338647951,0.002368436960352675,13,False
