kpi,parameter,mu_star,sigma,n_eff
total_system_cost,CO2 Cap,2496.939871006924,3711.138911898058,103
total_system_cost,Buildings demand,4693.911097520993,945.0954040978024,79
total_system_cost,Steel Production,1526.8499439660338,458.56466262972157,86
total_system_cost,Chemical Production,8278.730086019395,19872.39294626108,97
total_system_cost,Passenger Cars,3642.0886548094018,200.16009435990676,94
total_system_cost,Bunker aviation,1824.8735394529785,3297.2097983507488,98
total_system_cost,Bunker navigation,4392.812562294716,1613.9747463409315,102
total_system_cost,Agriculture neGHG CH4,1533.6259283115896,4872.511895131326,101
total_system_cost,Agriculture neGHG N2O,421.9587283473549,235.15563101865573,105
total_system_cost,Wind offshore Costs,1936.0785405615206,554.5863950173425,104
total_system_cost,Wind offshore Potential,306.91371017182905,1260.422060475607,85
total_system_cost,Solar PV Costs,668.3233467808037,217.89386079997666,97
total_system_cost,Solar PV Potential,376.87265146207505,2541.917018862134,88
total_system_cost,Nuclear Costs,754.7184504928177,912.1337888030438,84
total_system_cost,Nuclear Potential,294.18747580086426,538.3809405571529,84
total_system_cost,Hydrogen Import Potential,3020.4415923474344,15954.530969624791,86
total_system_cost,Hydrogen Import Price,1002.0144012527095,1737.8503463723616,111
total_system_cost,Biomass Import Potential,3318.519059380605,16664.921261244726,103
total_system_cost,Biomass Import Price,5355.144166992458,2250.1951297424957,95
total_system_cost,Ammonia Import Potential,2254.3180525404164,2930.896990239718,94
total_system_cost,Ammonia Import Price,2666.282797077106,2192.650896845816,90
total_system_cost,CCS potential,5098.051139765184,10985.33512918453,83
total_system_cost,Flexibility Costs,38.130601447992106,57.45404453015064,81
total_system_cost,LNG Price,212.9866253887681,392.76446973738746,125
total_system_cost,Electricity Trade Price,1417.1836639219568,1686.7137244517712,123
total_system_cost,Weather Conditions,5261.918677338232,10831.631055495784,116
total_system_cost,Electricity Trade Ratio,1830.9589782294038,3069.717777410634,87
total_system_cost,Electricity Trade Volume,4687.6486538937115,10596.930755234194,95
total_system_cost,WACC,9766.00802741633,1739.206485824853,103
total_system_cost,Bunker Emission Reduction,3190.80582251801,1288.0112617611073,83
total_system_cost,End-of-Life Emission Reduction,7223.243371750753,16104.308513222097,89
unit_energy_cost,CO2 Cap,0.80035808859295,0.5958866659409849,103
unit_energy_cost,Buildings demand,0.37112756176901324,0.5515985809234782,79
unit_energy_cost,Steel Production,0.2435774291465483,0.3471046722905583,86
unit_energy_cost,Chemical Production,1.6460733194779005,5.284541724381633,97
unit_energy_cost,Passenger Cars,1.213915597753748,0.17533684873890726,94
unit_energy_cost,Bunker aviation,0.4267592206454019,1.1315009480721376,98
unit_energy_cost,Bunker navigation,0.48778940236077023,0.6994164738548719,102
unit_energy_cost,Agriculture neGHG CH4,0.5963304154206586,1.7200794697381538,101
unit_energy_cost,Agriculture neGHG N2O,0.18999789572177,0.21293889460837837,105
unit_energy_cost,Wind offshore Costs,0.8746003242982868,0.9136685655635254,104
unit_energy_cost,Wind offshore Potential,0.3815033666028176,1.103405217939538,85
unit_energy_cost,Solar PV Costs,0.25562138697835396,0.25256566720871065,97
unit_energy_cost,Solar PV Potential,0.15739588666123538,0.6703362359771365,88
unit_energy_cost,Nuclear Costs,1.7763465656321844,2.4383862313651727,84
unit_energy_cost,Nuclear Potential,0.6910222831821153,1.178717274046979,84
unit_energy_cost,Hydrogen Import Potential,0.9053207098857583,4.8539870724377225,86
unit_energy_cost,Hydrogen Import Price,0.3609295714775625,0.7135882442126136,111
unit_energy_cost,Biomass Import Potential,1.5368955436741865,5.386801783067166,103
unit_energy_cost,Biomass Import Price,2.8541472071025025,2.0015508729641716,95
unit_energy_cost,Ammonia Import Potential,0.753884057952883,1.2601213031995377,94
unit_energy_cost,Ammonia Import Price,1.047168579572009,1.3930174709659982,90
unit_energy_cost,CCS potential,2.2425560373059152,2.4682016697584754,83
unit_energy_cost,Flexibility Costs,0.04961227034898359,0.0980227184953245,81
unit_energy_cost,LNG Price,0.14902789361606314,0.398095204317226,125
unit_energy_cost,Electricity Trade Price,0.7391954874379622,0.9595515885527579,123
unit_energy_cost,Weather Conditions,2.151228205593969,3.161917917337868,116
unit_energy_cost,Electricity Trade Ratio,2.217404798784137,2.585846336356712,87
unit_energy_cost,Electricity Trade Volume,2.2082975477646634,3.5013217186118197,95
unit_energy_cost,WACC,3.879887881793084,0.9687879658949162,103
unit_energy_cost,Bunker Emission Reduction,0.7124661175598698,0.7817635375322873,83
unit_energy_cost,End-of-Life Emission Reduction,1.3114451972035184,3.741774524540813,89
co2_price,CO2 Cap,67.8453811469444,173.26661321475834,103
co2_price,Buildings demand,52.05959951800478,177.0285234661155,79
co2_price,Steel Production,13.065791568693221,25.55054909448678,86
co2_price,Chemical Production,100.27310843072013,445.260706417398,97
co2_price,Passenger Cars,0.7878006769782501,1.5142674997871088,94
co2_price,Bunker aviation,20.21292073148053,94.8121633101245,98
co2_price,Bunker navigation,88.17140627704,232.8373890160713,102
co2_price,Agriculture neGHG CH4,36.63592052966484,121.64412674452095,101
co2_price,Agriculture neGHG N2O,15.396049522780885,34.99379361380563,105
co2_price,Wind offshore Costs,17.18310885842245,29.526240166735302,104
co2_price,Wind offshore Potential,26.07238772946115,77.55980360436273,85
co2_price,Solar PV Costs,6.755054038527198,11.097654104569036,97
co2_price,Solar PV Potential,4.687517273066772,13.876049546805284,88
co2_price,Nuclear Costs,16.06277013218915,28.807107032082218,84
co2_price,Nuclear Potential,16.200475173440434,42.95342566814533,84
co2_price,Hydrogen Import Potential,328.144796135493,2813.3588505732273,86
co2_price,Hydrogen Import Price,39.97177255146219,62.48837571990262,111
co2_price,Biomass Import Potential,131.36387946089098,400.8017888443973,103
co2_price,Biomass Import Price,68.58221769833607,86.8248371430092,95
co2_price,Ammonia Import Potential,181.41437329070368,542.5564387234365,94
co2_price,Ammonia Import Price,58.19078783600064,79.97822680669609,90
co2_price,CCS potential,147.76799806752595,217.03346799230906,83
co2_price,Flexibility Costs,4.246125411779679,10.63480769015728,81
co2_price,LNG Price,7.385214676305342,18.899666183628767,125
co2_price,Electricity Trade Price,12.639079420229447,25.841517267117595,123
co2_price,Weather Conditions,326.1087990933756,2461.9026646459633,116
co2_price,Electricity Trade Ratio,41.71884332484798,95.58876697362335,87
co2_price,Electricity Trade Volume,381.536154549581,2907.339209993842,95
co2_price,WACC,52.44134132817664,77.14988173175489,103
co2_price,Bunker Emission Reduction,67.59707992232258,151.84287532080447,83
co2_price,End-of-Life Emission Reduction,57.15024950562549,127.89740988012169,89
elec_price_hv,CO2 Cap,13645.783313729857,127801.14461464061,103
elec_price_hv,Buildings demand,29802.306949613303,139911.17529313194,79
elec_price_hv,Steel Production,31638.894558336153,198786.5992260236,86
elec_price_hv,Chemical Production,34155.200577891155,186732.57099008412,97
elec_price_hv,Passenger Cars,9149.631240896491,84923.54849004888,94
elec_price_hv,Bunker aviation,6749.473986648481,46467.828619042244,98
elec_price_hv,Bunker navigation,22228.428379418485,158944.0056512604,102
elec_price_hv,Agriculture neGHG CH4,26584.046369098938,153553.25843099735,101
elec_price_hv,Agriculture neGHG N2O,6920.597407294802,42599.264245417005,105
elec_price_hv,Wind offshore Costs,21720.837417047904,135228.1384556646,104
elec_price_hv,Wind offshore Potential,11657.1251778351,53507.900153353636,85
elec_price_hv,Solar PV Costs,87613.922945767,312015.85193075583,97
elec_price_hv,Solar PV Potential,28579.27366420571,184285.20629074474,88
elec_price_hv,Nuclear Costs,34142.765099261815,199272.20351009766,84
elec_price_hv,Nuclear Potential,35818.76438444088,200720.75167687904,84
elec_price_hv,Hydrogen Import Potential,9124.94243888257,52436.68304990763,86
elec_price_hv,Hydrogen Import Price,128.5112157561101,957.5828468906955,111
elec_price_hv,Biomass Import Potential,46846.16791146114,229007.82186932812,103
