driver,kpi,n_narrow,overlap_narrowed,overlap_random,delta_vs_control,verdict
Weather Conditions,total_system_cost,4993,1.0,0.975,0.025000000000000022,stable
Weather Conditions,co2_price,4993,1.0,0.95,0.050000000000000044,stable
Weather Conditions,elec_generation,4993,0.8,0.8999999999999999,-0.09999999999999987,stable
Weather Conditions,vre_share,4993,0.8,0.925,-0.125,stable
Weather Conditions,import_dependency,4993,1.0,1.0,0.0,stable
Weather Conditions,self_sufficiency,4993,1.0,0.975,0.025000000000000022,stable
Weather Conditions,biomass_imports,4993,1.0,0.95,0.050000000000000044,stable
Weather Conditions,net_h2_imports,4993,0.8,0.875,-0.07499999999999996,stable
Weather Conditions,fossil_imports,4993,1.0,0.975,0.025000000000000022,stable
Weather Conditions,net_elec_imports,4993,1.0,0.8999999999999999,0.10000000000000009,stable
Weather Conditions,ccs_volume,4993,0.6,0.375,0.22499999999999998,stable
Weather Conditions,res_share_primary,4993,0.8,0.9249999999999999,-0.12499999999999989,stable
Weather Conditions,flex_use_total,4993,0.8,0.975,-0.17499999999999993,SHIFTS
Weather Conditions,unserved_energy,4993,1.0,0.8999999999999999,0.10000000000000009,stable
Weather Conditions,wind_capacity,4993,0.8,0.7999999999999999,1.1102230246251565e-16,stable
Weather Conditions,solar_capacity,4993,0.8,0.975,-0.17499999999999993,SHIFTS
Electricity Trade Volume,total_system_cost,4993,1.0,1.0,0.0,stable
Electricity Trade Volume,co2_price,4993,1.0,1.0,0.0,stable
Electricity Trade Volume,elec_generation,4993,0.8,0.8999999999999999,-0.09999999999999987,stable
Electricity Trade Volume,vre_share,4993,0.8,0.8999999999999999,-0.09999999999999987,stable
Electricity Trade Volume,import_dependency,4993,1.0,0.975,0.025000000000000022,stable
Electricity Trade Volume,self_sufficiency,4993,1.0,1.0,0.0,stable
Electricity Trade Volume,biomass_imports,4993,1.0,1.0,0.0,stable
Electricity Trade Volume,net_h2_imports,4993,0.8,0.875,-0.07499999999999996,stable
Electricity Trade Volume,fossil_imports,4993,1.0,0.9249999999999999,0.07500000000000007,stable
Electricity Trade Volume,net_elec_imports,4993,1.0,0.85,0.15000000000000002,stable
