case,alpha,mass_min,mass,density,lift,ndim
affordable,0.02,0.02,0.01962551316711725,0.7653061224489796,8.289709593164813,27
affordable,0.02,0.05,0.05036547511765295,0.5685884691848907,6.158886162418116,24
affordable,0.02,0.1,0.10033042955842596,0.45109780439121755,4.8862405341161494,17
affordable,0.05,0.02,0.02042655452087714,0.7843137254901961,8.495597805282634,17
affordable,0.05,0.05,0.04766196054871333,0.6050420168067226,6.553746878360888,11
affordable,0.05,0.1,0.09852808651246621,0.4532520325203252,4.909574890217448,8
affordable,0.1,0.02,0.019825773505557226,0.797979797979798,8.64362716098074,11
affordable,0.1,0.05,0.046660658856513465,0.6223175965665236,6.740874009663635,7
affordable,0.1,0.1,0.09812756583558627,0.463265306122449,5.018037540395768,5
security,0.02,0.02,0.024531891458896567,0.9714285714285714,4.855684255684256,25
security,0.02,0.05,0.05006508460999299,0.886,4.42866966966967,21
security,0.02,0.1,0.09972964854310604,0.7550200803212851,3.7739667378221595,16
security,0.05,0.02,0.021327726043857013,0.9859154929577465,4.9280971111957035,18
security,0.05,0.05,0.04756183037949334,0.8863157894736842,4.430248142879722,11
security,0.05,0.1,0.09852808651246621,0.7601626016260162,3.7996716228423546,7
security,0.1,0.02,0.019825773505557226,0.9848484848484849,4.922763672763673,14
security,0.1,0.05,0.046660658856513465,0.8862660944206009,4.4299997422315025,10
security,0.1,0.1,0.09812756583558627,0.7612244897959184,3.804979469265184,7
adequacy,0.02,0.02,0.021027335536197057,0.5476190476190477,5.4745459745459755,30
adequacy,0.02,0.05,0.05186742765595274,0.416988416988417,4.168631952415736,28
adequacy,0.02,0.1,0.10253329328126565,0.34765625,3.4755184872372373,22
adequacy,0.05,0.02,0.019325122659457294,0.6321243523316062,6.319345251987739,19
adequacy,0.05,0.05,0.04756183037949334,0.4652631578947368,4.651234392287024,14
adequacy,0.05,0.1,0.10083108040452589,0.35749751737835156,3.5739016076652623,12
adequacy,0.1,0.02,0.01992590367477721,0.6030150753768844,6.028339897686632,11
adequacy,0.1,0.05,0.0485631320716932,0.465979381443299,4.6583944769511785,10
adequacy,0.1,0.1,0.09812756583558627,0.3653061224489796,3.6519642091070663,7
